observableId	observableName	observableFormula	noiseFormula	noiseDistribution
observable_EGFRPtotal	EGFRPtotal	EGFRPtotal	noiseParameter1_observable_EGFRPtotal	normal
observable_PLCgPtotal	PLCgPtotal	PLCgPtotal	noiseParameter1_observable_PLCgPtotal	normal
observable_ShPtotal	ShPtotal	ShPtotal	noiseParameter1_observable_ShPtotal	normal
observable_Grb2Shctotal	Grb2Shctotal	Grb2Shctotal	noiseParameter1_observable_Grb2Shctotal	normal
observable_Grb2EGFRtotal	Grb2EGFRtotal	Grb2EGFRtotal	noiseParameter1_observable_Grb2EGFRtotal	normal
